id,Name,Shop,Life,Quantity,Cal
213,Мука,Магнит,89,9,1437
214,Свекла,Магнит,7,14,295
215,Мука,Пятерочка,148,7,213
216,Перец,Пятерочка,56,6,1211
217,Смородина,Лента,80,48,1002
218,Капуста,Макс-маркет,133,9,717
219,Яблоко,Лента,146,44,511
220,Хлеб,Пятерочка,46,29,454
221,Петрушка,Макс-маркет,38,48,812
222,Перец,Лента,104,31,668
223,Чеснок,Лента,134,37,1725
224,Помидоры,Макс-маркет,103,42,1007
225,Масло,Магнит,179,29,1748
226,Помидоры,Пятерочка,12,2,1487
227,Сосиски,Макс-маркет,86,46,1937
228,Редька,Макс-маркет,75,34,1134
229,Сахар,Пятерочка,143,1,749
230,Помидоры,Макс-маркет,156,20,847
231,Морковь,Магнит,77,14,618
232,Петрушка,Лента,62,18,1168
233,Персик,Магнит,23,15,1445
234,Баклажан,Лента,53,13,1397
235,Сахар,Лента,16,28,241
236,Перец,Больше-меньше,76,38,428
237,Мясо,Перекресток,179,30,1676
238,Колбаса,Лента,102,35,1666
239,Лук,Перекресток,119,15,322
240,Масло,Макс-маркет,63,38,1275
241,Рис,Больше-меньше,83,42,706
242,Смородина,Пятерочка,13,32,586
243,Сосиски,Пятерочка,141,33,1193
244,Чеснок,Лента,7,5,1190
245,Слива,Пятерочка,14,34,435
246,Фасоль,Больше-меньше,180,26,1758
247,Творог,Перекресток,73,37,614
248,Морковь,Лента,97,32,1092
249,Ветчина,Лента,41,40,1757
250,Морковь,Лента,91,48,483
251,Капуста,Магнит,90,4,601
252,Редька,Перекресток,124,15,281
253,Клубника,Пятерочка,130,17,825
254,Ветчина,Магнит,168,17,1400
255,Зеленый горошек,Больше-меньше,150,22,1915
256,Картофель,Пятерочка,14,23,491
257,Белокочанная капуста,Макс-маркет,9,19,1552
258,Ветчина,Перекресток,15,13,343
259,Соль,Пятерочка,180,26,639
260,Огурцы,Магнит,95,4,1051
261,Сырокопчености,Перекресток,126,22,1326
262,Картошка,Перекресток,76,9,1023
263,Томаты,Больше-меньше,97,39,1757
264,Редис,Больше-меньше,124,26,375
265,Масло,Больше-меньше,26,47,1131
266,Морковь,Перекресток,11,22,418
267,Сливки,Больше-меньше,176,4,617
268,Баклажан,Больше-меньше,152,24,934
269,Зеленый горошек,Лента,28,35,313
270,Фасоль,Лента,146,34,645
271,Яйца,Магнит,95,9,1934
272,Йогурт,Макс-маркет,156,32,619
273,Груша,Лента,170,15,287
274,Вишня,Пятерочка,17,2,1037
275,Картошка,Макс-маркет,95,31,1456
276,Абрикос,Больше-меньше,103,29,1929
277,Бекон,Макс-маркет,109,25,1740
278,Свекла,Пятерочка,69,36,274
279,Кофе,Макс-маркет,16,41,1911
280,Масло,Магнит,100,27,1966
281,Картофель,Лента,63,3,1349
282,Перец сладкий,Макс-маркет,80,46,1294
283,Сырокопчености,Перекресток,112,39,1830
284,Перец,Макс-маркет,128,47,586
285,Картофель,Больше-меньше,156,4,1729
286,Творог,Пятерочка,114,16,1544
287,Капуста,Больше-меньше,121,20,367
288,Хлеб,Лента,141,36,735
289,Укроп,Лента,61,28,1328
290,Сырокопчености,Лента,108,24,315
291,Редис,Пятерочка,64,39,918
292,Белокочанная капуста,Перекресток,101,44,607
293,Картошка,Магнит,33,26,490
294,Мороженое,Перекресток,56,7,201
295,Свекла,Магнит,8,49,358
296,Сосиски,Лента,119,22,655
297,Ветчина,Магнит,70,6,246
298,Сосиски,Магнит,121,10,1294
299,Сырокопчености,Пятерочка,161,19,1263
300,Гречка,Пятерочка,111,47,1355
301,Чеснок,Больше-меньше,30,25,906
302,Мороженое,Магнит,9,21,1146
303,Милкис,Макс-маркет,175,42,374
304,Перец сладкий,Лента,170,27,230
305,Колбаса,Больше-меньше,87,34,1656
306,Мука,Больше-меньше,92,22,1045
307,Сырокопчености,Перекресток,83,5,1579
308,Перец сладкий,Магнит,63,25,1147
309,Чеснок,Пятерочка,150,26,1766
310,Сметана,Лента,173,32,1307
311,Мороженое,Макс-маркет,121,23,737
312,Смородина,Макс-маркет,68,13,354
313,Гречка,Пятерочка,129,28,1702
314,Сникерс,Макс-маркет,103,11,1253
315,Мед,Магнит,163,36,1074
316,Сметана,Магнит,2,31,1851
317,Морковь,Перекресток,10,26,389
318,Слива,Пятерочка,43,25,1156
319,Редис,Макс-маркет,82,11,661
320,Редька,Больше-меньше,83,25,1215
321,Апельсин,Перекресток,145,11,1719
322,Лимон,Лента,16,23,1003
323,Апельсин,Больше-меньше,15,33,1457
324,Сырокопчености,Перекресток,89,43,1550
325,Мороженое,Макс-маркет,132,49,380
326,Редька,Магнит,65,39,1536
327,Картошка,Лента,100,35,546
328,Милкис,Магнит,162,13,1158
329,Смородина,Лента,42,17,618
330,Апельсин,Макс-маркет,45,45,1835
331,Клубника,Лента,45,17,1235
332,Чай,Макс-маркет,109,19,1576
333,Хлеб,Перекресток,124,38,1561
334,Морковь,Перекресток,138,39,828
335,Персик,Перекресток,28,19,1981
336,Хлеб,Пятерочка,62,20,1245
337,Фасоль,Лента,177,7,1677
338,Мед,Макс-маркет,83,39,1241
339,Кофе,Пятерочка,95,29,1515
340,Укроп,Макс-маркет,108,13,892
341,Сырокопчености,Перекресток,27,23,483
342,Баклажан,Лента,50,18,1286
343,Капуста,Больше-меньше,95,46,1104
344,Мясо,Макс-маркет,113,24,1333
345,Фасоль,Пятерочка,17,38,684
346,Мед,Магнит,42,23,1615
347,Клубника,Магнит,156,14,1376
348,Сметана,Магнит,87,32,1467
349,Молоко,Лента,20,5,454
350,Сахар,Пятерочка,93,2,371
351,Милкис,Лента,145,1,921
352,Смородина,Больше-меньше,19,29,1072
353,Петрушка,Больше-меньше,83,49,603
354,Лимон,Пятерочка,159,46,347
355,Хлеб,Лента,51,42,427
356,Томаты,Перекресток,67,43,1160
357,Томаты,Перекресток,37,30,1219
358,Помидоры,Лента,34,25,364
359,Бекон,Пятерочка,80,39,760
360,Бекон,Магнит,74,14,985
361,Сахар,Макс-маркет,163,12,1819
362,Морковь,Магнит,171,37,435
363,Огурцы,Магнит,127,19,1638
364,Баклажан,Перекресток,127,39,1459
365,Яйца,Макс-маркет,161,25,1180
366,Фасоль,Перекресток,164,7,1995
367,Яблоко,Пятерочка,172,1,1736
368,Гречка,Магнит,10,1,848
369,Чай,Магнит,89,1,265
370,Чеснок,Больше-меньше,51,48,1862
371,Баклажан,Магнит,34,38,1326
372,Редис,Пятерочка,101,41,1620
373,Редька,Лента,120,19,739
374,Баклажан,Больше-меньше,99,48,381
375,Морковь,Перекресток,176,45,778
376,Мороженое,Больше-меньше,70,46,920
377,Сахар,Лента,171,39,723
378,Йогурт,Пятерочка,109,19,1312
379,Белокочанная капуста,Больше-меньше,62,26,997
380,Творог,Перекресток,79,46,1320
381,Мороженое,Лента,175,11,688
382,Морковь,Пятерочка,80,38,487
383,Фасоль,Пятерочка,116,49,641
384,Мясо,Макс-маркет,159,31,1543
385,Смородина,Макс-маркет,176,46,623
386,Лук,Макс-маркет,87,42,1680
387,Колбаса,Пятерочка,20,24,456
388,Яйца,Больше-меньше,17,20,1984
389,Огурцы,Магнит,69,2,1583
390,Чай,Магнит,52,39,1611
391,Лук,Макс-маркет,48,39,1604
392,Чеснок,Макс-маркет,139,47,1908
393,Сникерс,Макс-маркет,163,15,615
394,Кофе,Больше-меньше,154,36,1547
395,Фасоль,Макс-маркет,150,43,1611
396,Сырокопчености,Пятерочка,108,29,341
397,Соль,Макс-маркет,26,28,309
398,Помидоры,Магнит,178,35,559
399,Огурец,Лента,127,29,1695
400,Редис,Лента,169,48,911
401,Персик,Перекресток,109,24,1513
402,Огурцы,Магнит,60,50,531
403,Петрушка,Лента,150,24,1726
404,Мука,Магнит,43,46,628
405,Сливки,Макс-маркет,96,21,1510
406,Груша,Пятерочка,146,26,1654
407,Фасоль,Макс-маркет,33,10,1362
408,Яблоко,Пятерочка,90,32,855
409,Милкис,Перекресток,82,21,1962
410,Колбаса,Лента,118,48,1371
411,Мука,Макс-маркет,32,34,1548
412,Кефир,Больше-меньше,162,34,642
413,Редис,Больше-меньше,51,13,1061
414,Хлеб,Больше-меньше,134,45,1720
415,Сникерс,Больше-меньше,54,21,202
416,Мука,Лента,110,24,323
417,Капуста,Магнит,42,6,431
418,Сметана,Макс-маркет,75,8,1093
419,Слива,Магнит,38,14,582
420,Фасоль,Макс-маркет,2,22,292
421,Перец,Макс-маркет,47,9,781
422,Абрикос,Больше-меньше,65,43,600
423,Мед,Больше-меньше,178,3,1603
424,Петрушка,Перекресток,154,42,288
425,Кефир,Больше-меньше,57,12,1518
426,Мед,Пятерочка,102,10,1718
427,Апельсин,Магнит,170,49,301
428,Соль,Перекресток,40,34,635
429,Сырокопчености,Больше-меньше,89,25,1575
430,Сметана,Больше-меньше,18,6,1403
431,Клубника,Перекресток,90,47,1550
432,Картошка,Макс-маркет,173,17,1813
433,Соль,Макс-маркет,146,2,1014
434,Персик,Больше-меньше,53,27,1044
435,Хлеб,Магнит,5,20,1875
436,Огурец,Макс-маркет,175,15,703
437,Груша,Макс-маркет,37,31,384
438,Колбаса,Перекресток,77,29,899
439,Петрушка,Перекресток,115,38,1328
440,Картофель,Лента,111,8,1023
441,Сосиски,Лента,7,20,1236
442,Апельсин,Макс-маркет,128,45,1545
443,Перец сладкий,Магнит,160,42,287
444,Огурец,Лента,11,42,950
445,Огурцы,Перекресток,125,38,336
446,Мука,Перекресток,18,30,765
447,Сникерс,Лента,177,44,997
448,Молоко,Лента,146,43,830
449,Вишня,Больше-меньше,32,35,1056
450,Морковь,Перекресток,141,27,416
451,Лук,Макс-маркет,162,25,1590
452,Гречка,Лента,101,30,1095
453,Гречка,Лента,58,12,1518
454,Смородина,Больше-меньше,75,40,769
455,Лук,Магнит,88,7,353
456,Масло,Больше-меньше,172,25,360
457,Масло,Макс-маркет,143,21,894
458,Вишня,Магнит,93,9,1990
459,Масло,Перекресток,156,2,1146
460,Лимон,Больше-меньше,131,36,1620
461,Сливки,Больше-меньше,27,4,321
462,Лимон,Больше-меньше,168,31,487
463,Творог,Перекресток,135,18,1407
464,Свекла,Пятерочка,148,24,1972
465,Огурцы,Пятерочка,46,19,809
466,Молоко,Макс-маркет,180,32,969
467,Слива,Перекресток,114,15,1081
468,Яйца,Пятерочка,60,45,320
469,Фасоль,Лента,173,43,1603
470,Сметана,Макс-маркет,164,24,529
471,Белокочанная капуста,Магнит,152,4,1867
472,Абрикос,Макс-маркет,125,30,223
473,Перец сладкий,Магнит,118,14,714
474,Лимон,Лента,32,13,1015
475,Мед,Перекресток,142,39,920
476,Мука,Макс-маркет,84,2,529
477,Ветчина,Лента,129,18,1748
478,Баклажан,Магнит,70,18,1451
479,Ветчина,Макс-маркет,141,8,1165
480,Колбаса,Магнит,113,16,449
481,Вишня,Перекресток,56,5,1614
482,Картофель,Перекресток,164,11,443
483,Огурцы,Перекресток,106,7,1056
484,Сосиски,Макс-маркет,25,43,1037
485,Йогурт,Макс-маркет,50,49,1245
486,Огурцы,Макс-маркет,110,21,1679
487,Томаты,Макс-маркет,45,22,1772
488,Абрикос,Перекресток,102,24,381
489,Баклажан,Магнит,76,15,1016
490,Перец сладкий,Пятерочка,137,5,1997
491,Мед,Макс-маркет,30,43,453
492,Смородина,Перекресток,116,12,1916
493,Творог,Перекресток,117,42,1377
494,Картошка,Перекресток,50,42,1424
495,Смородина,Лента,108,20,789
496,Йогурт,Перекресток,144,1,1569
497,Мед,Пятерочка,180,41,506
498,Чеснок,Магнит,179,22,563
499,Абрикос,Пятерочка,96,32,1377
500,Кефир,Макс-маркет,109,33,1991
501,Молоко,Магнит,168,5,206
502,Сливки,Магнит,126,23,716
503,Ветчина,Перекресток,14,31,1240
504,Соль,Пятерочка,88,7,330
505,Баклажан,Лента,99,41,1298
506,Груша,Лента,71,25,1417
507,Груша,Лента,80,22,1722
508,Картофель,Лента,176,14,251
509,Редис,Лента,97,2,671
510,Помидоры,Магнит,124,16,628
511,Огурцы,Пятерочка,48,8,1927
512,Мороженое,Макс-маркет,63,37,1518
513,Сникерс,Макс-маркет,31,49,1488
514,Кофе,Магнит,77,42,825
515,Томаты,Макс-маркет,32,26,1555
516,Белокочанная капуста,Пятерочка,16,20,1852
517,Редис,Лента,76,46,434
518,Томаты,Лента,123,15,1757
519,Огурцы,Перекресток,75,28,1731
520,Мороженое,Магнит,52,46,1272
521,Клубника,Перекресток,81,28,286
522,Клубника,Макс-маркет,120,2,735
523,Картошка,Макс-маркет,152,39,1720
524,Персик,Магнит,70,8,880
525,Апельсин,Макс-маркет,45,20,779
526,Клубника,Лента,138,14,978
527,Огурец,Пятерочка,140,33,216
528,Яблоко,Перекресток,144,39,669
529,Яйца,Лента,109,31,1974
530,Творог,Лента,129,42,1553
531,Хлеб,Перекресток,6,32,845
532,Клубника,Перекресток,43,17,1668
533,Капуста,Лента,75,31,615
534,Милкис,Пятерочка,164,43,1098
535,Редька,Магнит,105,20,810
536,Персик,Лента,50,20,1396
537,Сахар,Магнит,79,17,1172
538,Томаты,Пятерочка,159,9,1734
539,Редька,Перекресток,49,47,1641
540,Абрикос,Магнит,98,17,299
541,Абрикос,Перекресток,7,45,1666
542,Огурцы,Макс-маркет,133,32,1329
543,Помидоры,Лента,149,43,347
544,Лук,Макс-маркет,60,23,1888
545,Сырокопчености,Больше-меньше,4,45,1392
546,Смородина,Перекресток,164,25,229
547,Кефир,Перекресток,123,43,284
548,Редис,Перекресток,115,17,614
549,Свекла,Магнит,138,46,498
550,Персик,Лента,52,11,1729
551,Груша,Перекресток,13,39,1926
552,Сметана,Лента,39,37,1498
553,Перец,Пятерочка,94,41,1547
554,Милкис,Больше-меньше,174,10,705
555,Сливки,Лента,16,45,1414
556,Сосиски,Магнит,40,10,1849
557,Сливки,Больше-меньше,23,40,1579
558,Слива,Больше-меньше,14,28,1651
559,Сахар,Магнит,176,32,1235
560,Мороженое,Пятерочка,82,37,210
561,Молоко,Пятерочка,64,14,1644
562,Мороженое,Лента,10,18,659
563,Баклажан,Пятерочка,116,11,1199
564,Лук,Больше-меньше,61,41,1257
565,Хлеб,Пятерочка,79,46,1175
566,Помидоры,Пятерочка,123,33,1279
567,Хлеб,Магнит,93,11,1356
568,Груша,Магнит,169,8,1456
569,Мука,Больше-меньше,172,41,221
570,Клубника,Пятерочка,74,42,1673
571,Яйца,Перекресток,43,2,1463
572,Петрушка,Перекресток,131,6,1720
573,Капуста,Пятерочка,56,39,1757
574,Рис,Лента,31,30,1340
575,Укроп,Перекресток,77,23,713
576,Лимон,Магнит,73,25,657
577,Огурец,Лента,95,21,1093
578,Милкис,Лента,169,22,1009
579,Капуста,Перекресток,143,45,1045
580,Мясо,Магнит,160,49,1744
581,Перец,Перекресток,52,45,714
582,Сахар,Больше-меньше,104,2,1974
583,Огурцы,Больше-меньше,117,38,1467
584,Сырокопчености,Магнит,31,5,1978
585,Клубника,Перекресток,179,34,788
586,Мед,Перекресток,142,17,903
587,Апельсин,Перекресток,131,26,1057
588,Милкис,Перекресток,70,47,973
589,Вишня,Пятерочка,29,1,644
590,Редька,Лента,75,17,1350
591,Зеленый горошек,Магнит,133,5,1742
592,Груша,Пятерочка,59,35,1784
593,Абрикос,Пятерочка,101,21,1704
594,Милкис,Магнит,1,50,747
595,Мед,Макс-маркет,84,11,254
596,Зеленый горошек,Магнит,139,35,860
597,Гречка,Лента,69,5,1919
598,Перец,Магнит,73,42,201
599,Огурцы,Пятерочка,82,43,1934
600,Лимон,Больше-меньше,19,4,1881
601,Мороженое,Больше-меньше,145,34,390
602,Яблоко,Макс-маркет,160,32,645
603,Петрушка,Перекресток,21,12,1230
604,Мясо,Лента,139,13,1518
605,Перец,Магнит,174,19,434
606,Чай,Больше-меньше,173,24,947
607,Чеснок,Макс-маркет,71,27,1496
608,Зеленый горошек,Лента,139,36,1901
609,Капуста,Перекресток,118,12,216
610,Лук,Лента,34,44,532
611,Соль,Макс-маркет,78,26,572
612,Апельсин,Лента,32,44,530
613,Огурец,Лента,140,16,759
614,Морковь,Магнит,176,29,1204
615,Мука,Макс-маркет,101,30,1726
616,Гречка,Больше-меньше,134,38,1309
617,Укроп,Пятерочка,32,17,1931
618,Сахар,Макс-маркет,7,11,558
619,Вишня,Магнит,37,24,1920
620,Сахар,Пятерочка,176,42,1375
621,Чай,Макс-маркет,158,33,1370
622,Гречка,Пятерочка,16,4,1320
623,Сырокопчености,Магнит,113,39,1404
624,Сосиски,Лента,128,50,375
625,Рис,Лента,83,2,1418
626,Рис,Магнит,162,11,435
627,Редис,Пятерочка,162,49,630
628,Мороженое,Магнит,111,32,1871
629,Вишня,Лента,81,15,535
630,Мед,Лента,116,46,1089
631,Свекла,Больше-меньше,35,14,1961
632,Кофе,Перекресток,18,1,1420
633,Лимон,Магнит,88,17,883
634,Персик,Пятерочка,176,46,1798
635,Смородина,Магнит,17,30,386
636,Капуста,Лента,107,22,1063
637,Чай,Пятерочка,82,5,1824
638,Огурец,Пятерочка,51,46,1455
639,Абрикос,Больше-меньше,16,24,1436
640,Капуста,Макс-маркет,48,27,892
641,Помидоры,Перекресток,114,47,440
642,Помидоры,Магнит,18,25,1095
643,Свекла,Перекресток,24,36,1761
644,Персик,Магнит,43,34,963
645,Сосиски,Перекресток,99,32,847
646,Редис,Лента,37,44,817
647,Творог,Больше-меньше,28,40,1595
648,Помидоры,Пятерочка,116,5,204
649,Хлеб,Пятерочка,52,21,1322
650,Гречка,Больше-меньше,91,15,1333
651,Картошка,Перекресток,104,5,463
652,Смородина,Макс-маркет,173,47,1411
653,Мука,Лента,180,25,347
654,Картофель,Перекресток,76,44,1248
655,Мороженое,Лента,101,13,793
656,Кефир,Магнит,122,43,1747
657,Смородина,Пятерочка,44,39,951
658,Груша,Пятерочка,13,3,1052
659,Апельсин,Макс-маркет,10,10,1189
660,Кофе,Перекресток,172,21,1554
661,Апельсин,Магнит,5,30,780
662,Петрушка,Больше-меньше,138,4,1730
663,Мед,Перекресток,169,4,795
664,Белокочанная капуста,Перекресток,35,34,1052
665,Томаты,Магнит,94,35,1101
666,Перец сладкий,Больше-меньше,130,11,917
667,Помидоры,Больше-меньше,134,28,292
668,Гречка,Больше-меньше,6,34,472
669,Молоко,Магнит,70,5,691
670,Творог,Лента,166,39,1873
671,Соль,Лента,88,42,790
672,Петрушка,Пятерочка,44,45,439
673,Сырокопчености,Лента,74,27,963
674,Абрикос,Лента,106,35,298
675,Капуста,Макс-маркет,11,6,401
676,Хлеб,Больше-меньше,132,20,1164
677,Кофе,Магнит,17,30,398
678,Слива,Магнит,6,44,355
679,Гречка,Магнит,125,30,1073
680,Слива,Магнит,176,13,293
681,Морковь,Пятерочка,156,31,1909
682,Персик,Макс-маркет,100,50,1547
683,Соль,Магнит,132,8,430
684,Огурец,Макс-маркет,36,43,598
685,Сливки,Лента,103,48,915
686,Сметана,Магнит,150,14,457
687,Помидоры,Больше-меньше,82,35,735
688,Чай,Больше-меньше,80,16,683
689,Рис,Больше-меньше,119,44,1253
690,Баклажан,Перекресток,90,1,704
691,Клубника,Пятерочка,178,14,395
692,Ветчина,Перекресток,10,4,1632
693,Соль,Больше-меньше,131,11,736
694,Сникерс,Больше-меньше,94,35,616
695,Сметана,Лента,50,47,575
696,Йогурт,Лента,19,47,530
697,Сникерс,Магнит,79,9,1370
